timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.557692,0.004729,-0.010356,1.009976,0.096875,0.030352,-0.003082
0.576923,0.003071,-0.011473,1.009998,0.092423,0.024910,-0.007884
0.596154,0.001390,-0.012454,1.009996,0.087633,0.019338,-0.012612
0.615385,-0.000300,-0.013288,1.009971,0.082523,0.013664,-0.017223
0.634615,-0.001989,-0.013965,1.009923,0.077112,0.007919,-0.021673
0.653846,-0.003663,-0.014476,1.009852,0.071420,0.002132,-0.025921
0.673077,-0.005311,-0.014817,1.009757,0.065467,-0.003667,-0.029926
0.692308,-0.006921,-0.014983,1.009640,0.059276,-0.009446,-0.033653
0.711538,-0.008481,-0.014972,1.009500,0.052868,-0.015175,-0.037064
0.730769,-0.009981,-0.014784,1.009338,0.046267,-0.020825,-0.040130
0.750000,-0.011409,-0.014421,1.009155,0.039497,-0.026365,-0.042822
0.769231,-0.012756,-0.013888,1.008949,0.032584,-0.031767,-0.045113
0.788462,-0.014012,-0.013191,1.008723,0.025551,-0.037002,-0.046983
0.807692,-0.015168,-0.012338,1.008477,0.018425,-0.042042,-0.048415
0.826923,-0.016215,-0.011339,1.008211,0.011232,-0.046862,-0.049394
0.846154,-0.017146,-0.010206,1.007925,0.003998,-0.051435,-0.049913
0.865385,-0.017954,-0.008953,1.007622,-0.003251,-0.055738,-0.049965
0.884615,-0.018635,-0.007593,1.007300,-0.010488,-0.059749,-0.049551
0.903846,-0.019182,-0.006145,1.006961,-0.017686,-0.063445,-0.048674
0.923077,-0.019591,-0.004623,1.006606,-0.024820,-0.066808,-0.047342
0.942308,-0.019861,-0.003047,1.006236,-0.031864,-0.069821,-0.045569
0.961538,-0.019989,-0.001435,1.005851,-0.038791,-0.072466,-0.043370
0.980769,-0.019974,0.000194,1.005452,-0.045577,-0.074731,-0.040767
1.000000,-0.019816,0.001821,1.005041,-0.052196,-0.076603,-0.037782
1.019231,-0.019516,0.003426,1.004618,-0.058625,-0.078072,-0.034445
1.038462,-0.019077,0.004991,1.004184,-0.064840,-0.079132,-0.030786
1.057692,-0.018501,0.006496,1.003740,-0.070818,-0.079775,-0.026840
1.076923,-0.017793,0.007925,1.003288,-0.076538,-0.080000,-0.022643
1.096154,-0.016958,0.009261,1.002827,-0.081979,-0.079804,-0.018235
1.115385,-0.016002,0.010487,1.002361,-0.087120,-0.079189,-0.013657
1.134615,-0.014931,0.011589,1.001889,-0.091944,-0.078158,-0.008951
1.153846,-0.013754,0.012554,1.001412,-0.096432,-0.076716,-0.004161
1.173077,-0.012478,0.013371,1.000932,-0.100568,-0.074872,0.000667
1.192308,-0.011113,0.014030,1.000450,-0.104338,-0.072633,0.005489
1.211538,-0.009668,0.014523,0.999967,-0.107726,-0.070014,0.010260
1.230769,-0.008155,0.014844,0.999484,-0.110722,-0.067026,0.014935
1.250000,-0.006583,0.014991,0.999002,-0.113314,-0.063687,0.019471
1.269231,-0.004964,0.014960,0.998522,-0.115492,-0.060012,0.023825
1.288462,-0.003309,0.014752,0.998046,-0.117248,-0.056023,0.027956
1.307692,-0.001631,0.014370,0.997574,-0.118577,-0.051739,0.031827
1.326923,0.000059,0.013818,0.997109,-0.119473,-0.047183,0.035400
1.346154,0.001748,0.013103,0.996649,-0.119933,-0.042380,0.038643
1.365385,0.003425,0.012234,0.996198,-0.119956,-0.037354,0.041524
1.384615,0.005077,0.011219,0.995756,-0.119541,-0.032131,0.044019
1.403846,0.006693,0.010072,0.995323,-0.118690,-0.026740,0.046102
1.423077,0.008262,0.008806,0.994902,-0.117405,-0.021208,0.047755
1.442308,0.009771,0.007437,0.994492,-0.115692,-0.015565,0.048962
1.461538,0.011210,0.005979,0.994095,-0.113557,-0.009840,0.049711
1.480769,0.012569,0.004450,0.993712,-0.111008,-0.004064,0.049997
1.500000,0.013839,0.002869,0.993344,-0.108054,0.001734,0.049816
1.519231,0.015009,0.001254,0.992991,-0.104705,0.007523,0.049170
1.538462,0.016072,-0.000375,0.992655,-0.100974,0.013273,0.048064
1.557692,0.017020,-0.002000,0.992335,-0.096875,0.018952,0.046510
1.576923,0.017847,-0.003602,0.992034,-0.092423,0.024532,0.044522
1.596154,0.018545,-0.005161,0.991751,-0.087633,0.029983,0.042118
1.615385,0.019112,-0.006659,0.991488,-0.082523,0.035277,0.039320
1.634615,0.019541,-0.008079,0.991244,-0.077112,0.040385,0.036156
1.653846,0.019831,-0.009403,0.991021,-0.071420,0.045281,0.032654
1.673077,0.019979,-0.010616,0.990819,-0.065467,0.049940,0.028847
1.692308,0.019985,-0.011703,0.990638,-0.059276,0.054336,0.024771
1.711538,0.019847,-0.012652,0.990479,-0.052868,0.058446,0.020463
1.730769,0.019568,-0.013452,0.990343,-0.046267,0.062249,0.015965
1.750000,0.019148,-0.014093,0.990228,-0.039497,0.065726,0.011317
1.769231,0.018592,-0.014567,0.990137,-0.032584,0.068857,0.006564
1.788462,0.017903,-0.014869,0.990069,-0.025551,0.071626,0.001749
1.807692,0.017085,-0.014996,0.990024,-0.018425,0.074019,-0.003082
1.826923,0.016146,-0.014945,0.990002,-0.011232,0.076023,-0.007884
1.846154,0.015091,-0.014718,0.990004,-0.003998,0.077628,-0.012612
1.865385,0.013928,-0.014317,0.990029,0.003251,0.078824,-0.017223
1.884615,0.012666,-0.013747,0.990077,0.010488,0.079607,-0.021673
1.903846,0.011313,-0.013014,0.990148,0.017686,0.079972,-0.025921
1.923077,0.009879,-0.012128,0.990243,0.024820,0.079916,-0.029926
1.942308,0.008375,-0.011098,0.990360,0.031864,0.079440,-0.033653
1.961538,0.006811,-0.009937,0.990500,0.038791,0.078548,-0.037064
1.980769,0.005198,-0.008659,0.990662,0.045577,0.077242,-0.040130
